Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.248953,21.483,19.960,2.177,23.630,24.660
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.270395,21.441,20.000,2.123,23.045,23.219
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.291397,21.003,23.366,1.935,23.380,25.582
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.312608,21.211,19.961,2.073,23.251,24.331
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.333732,21.124,19.999,2.030,23.150,23.207
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.354732,21.000,23.389,2.068,23.210,25.595
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.375739,21.007,19.963,2.122,23.343,24.551
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.396959,21.219,19.987,2.032,23.152,23.319
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.418030,21.071,23.371,1.986,23.565,25.619
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.439243,21.213,23.298,2.271,27.000,27.704
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.464280,25.037,23.355,1.836,23.446,26.022
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.485405,21.125,19.978,2.223,23.950,24.875
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.507372,21.967,23.372,1.890,23.968,26.280
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.529329,21.957,19.964,1.935,24.054,24.287
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.551219,21.890,23.334,2.042,24.698,25.731
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.573732,22.513,23.365,2.104,24.694,26.583
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.596322,22.591,26.613,2.029,30.160,30.606
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.624438,28.116,26.719,1.966,26.299,29.208
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.648432,23.993,23.363,2.004,26.094,28.578
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.672242,23.810,23.305,2.150,25.979,28.073
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.696048,23.806,26.653,2.090,27.654,30.920
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.721642,25.594,23.287,1.977,27.855,28.613
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.747228,25.586,26.733,2.179,27.577,29.759
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.772716,25.488,23.278,2.004,27.133,27.549
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.797831,25.115,26.664,1.908,27.714,29.098
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.823339,25.508,26.697,2.130,28.061,30.287
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.849076,25.736,29.976,2.239,33.410,34.527
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.880190,31.115,26.704,2.206,27.535,30.116
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.905378,25.187,23.285,2.286,27.460,28.214
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.930586,25.208,26.699,2.174,27.417,29.704
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.955892,25.306,23.298,2.037,27.307,27.696
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,2.981147,25.255,26.715,1.960,27.110,29.156
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,3.006273,25.127,26.668,1.896,27.748,30.697
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,3.031787,25.514,23.291,2.164,27.576,28.475
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,3.057189,25.402,26.706,2.084,27.213,29.779
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,3.082418,25.228,23.282,1.915,27.573,27.833
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,3.109434,27.017,26.668,0.465,26.513,27.484
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,3.133790,24.356,26.667,2.069,29.687,29.795
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,3.161327,27.536,33.355,2.073,33.632,35.613
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,3.192751,31.424,26.682,2.127,28.819,30.871
DevilMayCry5.exe,11224,0x000002C4F9365730,DXGI,1,0,0,Hardware Composed: Independent Flip,0,3.219491,26.740,26.636,2.002,28.796,30.767
